ID,cognate,lang,cognateID,borrowed,pgmc_forms
1,achter,nl,35209,,*after(i)
2,Ecke,de,3553,,*agjō-
3,own,en,27350,,*aigena-
4,one,en,30086,,*aina-
5,eleven,en,30450,,*ainalifa-
6,elf,nl,30450,,*ainalifa-
7,oar,en,17158,,*airō-
8,Ei,de,3746,,*ajja-
9,ache,en,43564,,*akan-
10,elk,en,3926,,*albut-
11,old,en,24637,,*alda-
12,oud,nl,24654,,*alda-
13,Alter,de,288,,*alan-
14,Ente,de,4164,,*anad-
15,end,en,30487,,*andja-
16,angle,en,23175,,*angula-
17,other,en,24800,,*anþara-
18,anderer,de,24798,,*anþara-
19,apple,en,563,,*apla-
20,Apfel,de,563,,*apla-
21,ørn,da,241,,*aran-
22,Arbeit,de,674,,*arbaidi-
23,erg,nl,44807,,*arga-
24,arrow,en,15966,,*arhwō-
25,arm,en,774,,*arma-
26,Arm,de,774,,*arma-
27,oog,nl,1132,,*augōn-
28,Auge,de,1141,,*augōn-
29,east,en,15864,,*austera-
30,ear,en,15616,,*auzōn-
31,oor,nl,15625,,*auzōn-
32,Ohr,de,15625,,*auzōn-
33,boom,nl,1592,,*bagma-
34,Baum,de,1592,,*bagma-
35,back,en,53406,,*baka-
36,beek,nl,1233,,*bakja-
37,Bach,de,1233,,*bakja-
38,bake,en,26259,,*bak(k)an-
39,bakken,nl,26259,,*bak(k)an-
40,belly,en,1532,,*balgi-
41,belt,en,8354,,*baltja-
42,beard,en,1434,,*barzda-
43,baard,nl,1434,,*barzda-
44,Bart,de,1434,,*barzda-
45,beugen,de,27566,,*būgan-
46,böse,de,28220,,*bausa-
47,beat,en,42963,,*bautan-
48,bear,en,1323,,*beran-
49,beer,nl,1323,,*beran-
50,Bär,de,1323,,*beran-
51,berg,nl,1699,,*berga-
52,Berg,de,1699,,*berga-
53,bright,en,34598,,*berhta-
54,bark,en,27051,,*berkan-
55,birch,en,1978,,*berkō-
56,bow,en,27533,,*beugan-
57,buigen,nl,27746,,*beugan-
58,biegen,de,27746,,*beugan-
59,binden,nl,27878,,*bindan-
60,bite,en,26850,,*bītan-
61,bijten,nl,26850,,*bītan-
62,beißen,de,26850,,*bītan-
63,bitter,en,27965,,*bitra-
64,blad,nl,2008,,*blada-
65,Blatt,de,2008,,*blada-
66,blow,en,28037,,*blēan-
67,blauw,nl,28058,,*blēwa-
68,blow,en,28037,,*blewwan-
69,bloem,nl,2063,,*blōmman-
70,Blume,de,2063,,*blōmman-
71,bouwen,nl,26445,,*bōan-
72,bauen,de,26445,,*bōan-
73,bow,en,27533,,*bōgu-
74,book,en,2643,,*bōk(j)ō-
75,bosom,en,2912,,*bōsma-
76,boezem,nl,2912,,*bōsma-
77,Busen,de,2912,,*bōsma-
78,breed,nl,28449,,*braida-
79,breit,de,28449,,*braida-
80,brennen,de,28519,,*brannjan-
81,break,en,52797,,*brekan-
82,breken,nl,52797,,*brekan-
83,brechen,de,28428,,*brekan-
84,breast,en,2593,,*breusta-
85,Brett,de,2351,,*brezda-
86,burn,en,49425,,*brinnan-
87,brother,en,2542,,*brōϸer-
88,broer,nl,2530,,*brōϸer-
89,Bruder,de,2530,,*brōϸer-
90,Brunnen,de,2554,,*brunna(n)-
91,borst,nl,2593,,*brust-
92,Brust,de,2593,,*brust-
93,bridge,en,2456,,*bru(w)ī-
94,brug,nl,2456,,*bru(w)ī-
95,Brücke,de,2456,,*bru(w)ī-
96,Boden,de,2181,,*budman-
97,Bogen,de,2192,,*bugan-
98,bow,en,27533,,*bugan-
99,boog,nl,2192,,*bugan-
100,buy,en,36064,,*bugjan-
101,bull,en,2790,,*bul(l)an-
