ID,cognate,lang,cognateID,borrowed,pgmc_forms
1,kämmen,de,36009,,
2,helle,nb,33700,,
3,loka,is,43312,,
4,vilja,sv,52553,,
5,villa,is,4839,,
6,tie,en,27876,,
7,vika,is,23251,,
8,eilen,de,29907,,
9,panna,sv,20534,,
10,sie,de,45898,,
11,minne,sv,6438,,
12,ta,sv,39411,,
13,hete,nb,9464,,
14,merki,is,23845,,
15,sit,en,46228,,
16,al,nl,43899,,
17,rand,nl,16344,,
18,lind,is,16316,,
19,kop,nl,21422,,
20,rad,sv,16870,,
21,rod,da,23656,,
22,vast,nl,31758,,
23,negl,da,14958,,
24,kaum,de,36095,,
25,vald,is,13519,,
26,bed,en,1848,,
27,ö,sv,10042,,
28,ende,da,30487,,
29,taga,sv,39411,,
30,hö,sv,9320,,
31,leta,sv,47702,,
32,hosta,sv,35541,,
33,keel,nl,10601,,
34,veen,nl,14450,,
35,pull,en,52987,,
36,hunt,en,35795,,
37,haug,nb,8866,,
38,toon,nl,21662,,
39,ring,en,36384,,
40,plaat,nl,16135,,
41,haak,nl,8539,,
42,king,en,11401,,
43,lint,nl,1293,,
44,september,nl,19222,,
45,november,nl,15420,,
46,see,en,44748,,
47,stok,nl,20625,,
48,februar,da,4735,,
49,aske,da,976,,
50,die,en,47223,,
51,man,en,13702,,
52,hålla,sv,34254,,
53,siegen,de,46061,,
54,dat,nl,28884,,
55,dij,nl,15522,,
56,rista,sv,44106,,
57,enni,is,20576,,
58,vest,da,22912,,
59,sun,en,19497,,
60,kost,da,1762,,
61,kalle,nb,39436,,
62,lokk,nb,3190,,
63,kopp,sv,21422,,
64,tät,sv,29003,,
65,fog,en,15166,,
66,comb,en,36009,,
67,ég,is,35638,,
68,hold,en,34254,,
69,sár,is,23481,,
70,hang,en,34331,,
71,hús,is,8941,,
72,tea,en,21431,,
73,mester,da,13935,,
74,ár,is,10088,,
75,február,is,4735,,
76,október,is,15662,,
77,december,nl,3237,,
78,le,da,37354,,
79,én,da,30101,,
80,hol,nl,1457,,
81,fen,is,21118,,
82,lök,sv,24070,,
83,fest,de,31758,,
84,mond,nl,14608,,
85,herd,en,35611,,
86,sing,en,46116,,
87,band,sv,1282,,
88,name,en,39431,,
89,do,en,48613,,
90,bes,nl,1618,,
91,dan,nl,28826,,
92,sy,da,39227,,
93,bark,en,27051,,
94,det,da,28889,,
95,dele,da,48051,,
96,mend,en,41349,,
97,vise,da,52741,,
98,send,en,42704,,
99,vit,sv,51640,,
100,maj,da,13652,,
101,plak,nl,17906,,
102,mund,da,14608,,
103,var,sv,52379,,
104,lus,da,12509,,
105,put,en,47185,,
106,glad,nl,33823,,
107,sova,sv,42900,,
108,baka,sv,26259,,
109,bok,sv,2643,,
110,rub,en,40884,,
111,dom,nl,29586,,
112,stol,da,20921,,
113,januar,da,10104,,
114,april,nl,605,,
115,juni,nl,10256,,
116,juli,nl,10176,,
117,malen,de,38652,,
118,star,en,20394,,
119,sad,en,48298,,
120,biti,is,20890,,
121,lás,is,18190,,
122,sól,is,19501,,
123,apríl,is,605,,
124,roh,de,41576,,
125,hus,da,8941,,
126,syn,sv,7253,,
127,krok,sv,8537,,
128,tak,nl,1026,,
129,ret,da,19632,,
130,smak,sv,7135,,
131,kurz,de,37247,,
132,hak,nl,5041,,
133,varna,is,26758,,
134,lova,sv,38496,,
135,saga,sv,13749,,
136,ten,en,52665,,
137,smaka,sv,40530,,
138,plate,nb,16135,,
139,kaste,da,51922,,
140,lente,nl,5986,,
141,aka,is,31129,,
142,taka,is,39411,,
143,marts,da,13810,,
144,plats,sv,15829,,
145,kust,nl,12119,,
146,salt,en,17473,,
147,nest,en,15245,,
148,sist,sv,38231,,
149,auga,is,1141,,
150,eyra,is,15628,,
151,nef,is,15115,,
152,munnur,is,14608,,
153,tönn,is,23702,,
154,tunga,sv,23980,,
155,vör,is,13208,,
156,kinn,nb,22485,,
157,vangi,is,22539,,
158,andlit,is,7225,,
159,hár,is,8415,,
160,yfirskegg,is,18571,,
161,skegg,is,1408,,
162,kjálki,is,10687,,
163,skoltur,is,10703,,
164,kverk,is,10594,,
165,háls,is,8591,,
166,hnakki,is,6844,,
167,höfuð,is,11434,,
168,hryggur,is,48271,,
169,kviður,is,1508,,
170,nafli,is,14758,,
171,barmur,is,2892,,
172,brjóst,is,2627,,
173,öxl,is,18802,,
174,armur,is,774,,
175,olnbogi,is,4033,,
176,hönd,is,8663,,
177,lófi,is,8702,,
178,fingur,is,5341,,
179,fingurnögl,is,5417,,
180,nögl,is,14982,,
181,tá,is,23812,,
182,fótur,is,6025,,
183,hæll,is,5083,,
184,kné,is,11219,,
185,læri,is,15538,,
186,fótleggur,is,1678,,
187,búkur,is,11526,,
188,líkami,is,11560,,
189,húð,is,8991,,
190,skinn,sv,4952,,
191,blóð,is,2113,,
192,æð,is,214,,
193,bein,nb,11266,,
194,heili,is,6640,,
195,hjarta,is,9276,,
196,magi,is,13645,,
197,lifur,is,12642,,
198,andi,is,6690,,
199,andardráttur,is,1088,,
200,hungur,is,9991,,
201,tár,is,21816,,
202,smekkur,is,7135,,
203,lykt,is,6947,,
204,svefn,is,17965,,
205,draumur,is,21860,,
206,himinn,is,9448,,
207,tungl,is,14335,,
208,stjarna,is,20396,,
209,loft,is,13328,,
210,vindur,is,23139,,
211,alda,is,22804,,
212,bylgja,is,22788,,
213,vatn,is,22601,,
214,steinn,is,20366,,
215,botn,is,2150,,
216,jörð,is,4289,,
217,ryk,is,20346,,
218,duft,is,20304,,
219,reykur,is,16457,,
220,neisti,is,6167,,
221,eldur,is,5221,,
222,ljós,is,13057,,
223,skuggi,is,17754,,
224,veður,is,22942,,
225,þoka,is,15161,,
226,ský,is,23363,,
227,regn,da,16718,,
228,snjór,is,18453,,
229,ís,is,3884,,
230,frost,en,5950,,
231,kuldi,is,10297,,
232,hiti,is,9464,,
233,hrím,is,16525,,
234,regnbogi,is,16774,,
235,þruma,is,29114,,
236,straumur,is,20828,,
237,dropi,is,21908,,
238,froða,is,17866,,
239,óhreinindi,is,18414,,
240,stöðuvatn,is,19093,,
241,mýri,is,14418,,
242,engi,is,23098,,
243,skógur,is,22426,,
244,hæð,is,9555,,
245,hóll,is,430,,
246,fell,is,1714,,
247,fjall,is,1714,,
248,tindur,is,7623,,
249,hellir,is,9628,,
250,hlíð,is,60,,
251,brekka,is,87,,
252,uppspretta,is,16292,,
253,lækur,is,1234,,
254,á,is,5661,,
255,fljót,is,5653,,
256,árbakki,is,22085,,
257,sjávarbakki,is,22085,,
258,strönd,is,12143,,
259,meginland,is,5137,,
260,sjór,is,13918,,
261,vík,is,2737,,
262,eyja,is,10045,,
263,blóm,is,2063,,
264,rót,is,23656,,
265,tré,is,1577,,
266,stofn,is,20166,,
