ID,cognate,lang,cognateID,borrowed,pgmc_forms
1, -en, de,2, false, -āną
2, -ja, is,2, false, -āną
3, -en, en,3, false, -aną
4, -e, en,3, false, -aną
5, -en, nl,3, false, -aną
6, -en, de,3, false, -aną
7, -a, is,3, false, -aną
8, -e, nb,3, false, -aną
9, -a, nn,3, false, -aną
10, -a, sv,3, false, -aną
11, -e, da,3, false, -aną
12, -er, en,6, false, -ārijaz
13, -ari, is,6, false, -ārijaz
14, -er, nb,6, false, -ārijaz
15, -ar, nn,6, false, -ārijaz
16, -er, nn,6, false, -ārijaz
17, -are, sv,6, false, -ārijaz
18, -er, da,6, false, -ārijaz
19, -er, nl,6, false, -ārijaz
20, -aar, nl,6, false, -ārijaz
21, -er, da,6, false, -ārijaz
22, -aar, da,6, false, -ārijaz
23, -t, en,8, false, -atjaną
24, -sen, de,8, false, -atjaną
25, -zen, de,8, false, -atjaną
26, -dom, en,9, false, -dōmaz
27, -dom, nl,9, false, -dōmaz
28, -tum, de,9, false, -dōmaz
29, -dómur, is,9, false, -dōmaz
30, -dømme, nb,9, false, -dōmaz
31, -døme, nn,9, false, -dōmaz
32, -dom, sv,9, false, -dōmaz
33, -döme, sv,9, false, -dōmaz
34, -dom, da,9, false, -dōmaz
35, -fold, en,12, false, -falþaz
36, -voud, nl,12, false, -falþaz
37, -voudig, nl,12, false, -falþaz
38, -faldur, is,12, false, -falþaz
39, -fald, nn,12, false, -falþaz
40, -felt, nn,12, false, -falþaz
41, -fald, sv,12, false, -falþaz
42, -faldig, sv,12, false, -falþaz
43, -falt, de,12, false, -falþaz
44, -faltig, de,12, false, -falþaz
45, -agur, is,13, false, -gaz
46, -igur, is,13, false, -gaz
47, -ugur, is,13, false, -gaz
48, -ag, no,13, false, -gaz
49, -ig, no,13, false, -gaz
50, -ug, no,13, false, -gaz
51, -ig, sv,13, false, -gaz
52, -ig, da,13, false, -gaz
53, -ig, de,13, false, -gaz
54, -ich, de,13, false, -gaz
55, -ig, nl,13, false, -gaz
56, -y, en,13, false, -gaz
57, -ey, en,13, false, -gaz
58, -ie, en,13, false, -gaz
59, hvergi, is,14, false, -gin
60, manngi, is,14, false, -gin
61, hvorki, is,14, false, -gin
62, hvorugur, is,14, false, -gin
63, einungis, is,14, false, -gin
64, enginn, is,14, false, -gin
65, vettugi, is,14, false, -gin
66, öldungis, is,14, false, -gin
67, irgend, de,14, false, -gin
68, -gens, nl,14, false, -gin
69, ergens, nl,14, false, -gin
70, nergens, nl,14, false, -gin
71, dog, en,15, false, -gô
72, frog, en,15, false, -gô
73, pig, en,15, false, -gô
74, shag, en,15, false, -gô
75, sneg, en,15, false, -gô
76, snag, en,15, false, -gô
77, stag, en,15, false, -gô
78, earwig, en,15, false, -gô
79, Schnecke, de,15, false, -gô
80, -e, nl,18, false, -į̄
81, -e, de,18, false, -į̄
82, -i, is,18, false, -į̄
83, -e, no,18, false, -į̄
